NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,17.829,4.1677,2.7883,5.7817,-4.7154,6.8588,5.9069,10.174,16.16,23.651,26.165,17.215,9.4332,3.1072,11.913,7.765
1,9.9438,8.8136,3.6783,9.673,1.5385,4.641,5.9557,10.316,10.96,22.349,24.977,19.668,6.7135,3.8401,14.134,6.8349
2,4.2084,4.0821,-2.3258,-6.9601,3.2019,2.33,-2.0708,6.8573,7.273,29.741,18.923,19.574,9.6743,5.6504,16.561,2.9319
3,-3.7389,-8.8648,-11.167,-17.407,5.9844,-4.4339,-8.0838,2.3108,-3.5308,18.115,2.1469,7.7003,0.81686,-10.594,1.205,-11.814
4,-4.4284,-5.52,-4.9387,-5.8479,6.7485,-1.0417,0.72827,7.5479,-5.6123,9.2897,5.7105,11.981,8.4743,-1.3938,3.4443,-10.065
5,17.829,4.1677,2.7883,5.7817,-4.7154,6.8588,5.9069,10.174,16.16,23.651,26.165,17.215,9.4332,3.1072,11.913,7.765
6,9.9438,8.8136,3.6783,9.673,1.5385,4.641,5.9557,10.316,10.96,22.349,24.977,19.668,6.7135,3.8401,14.134,6.8349
7,4.2084,4.0821,-2.3258,-6.9601,3.2019,2.33,-2.0708,6.8573,7.273,29.741,18.923,19.574,9.6743,5.6504,16.561,2.9319
8,-3.7389,-8.8648,-11.167,-17.407,5.9844,-4.4339,-8.0838,2.3108,-3.5308,18.115,2.1469,7.7003,0.81686,-10.594,1.205,-11.814
9,-4.4284,-5.52,-4.9387,-5.8479,6.7485,-1.0417,0.72827,7.5479,-5.6123,9.2897,5.7105,11.981,8.4743,-1.3938,3.4443,-10.065
10,17.829,4.1677,2.7883,5.7817,-4.7154,6.8588,5.9069,10.174,16.16,23.651,26.165,17.215,9.4332,3.1072,11.913,7.765
11,9.9438,8.8136,3.6783,9.673,1.5385,4.641,5.9557,10.316,10.96,22.349,24.977,19.668,6.7135,3.8401,14.134,6.8349
12,4.2084,4.0821,-2.3258,-6.9601,3.2019,2.33,-2.0708,6.8573,7.273,29.741,18.923,19.574,9.6743,5.6504,16.561,2.9319
13,-3.7389,-8.8648,-11.167,-17.407,5.9844,-4.4339,-8.0838,2.3108,-3.5308,18.115,2.1469,7.7003,0.81686,-10.594,1.205,-11.814
14,-4.4284,-5.52,-4.9387,-5.8479,6.7485,-1.0417,0.72827,7.5479,-5.6123,9.2897,5.7105,11.981,8.4743,-1.3938,3.4443,-10.065
15,17.829,4.1677,2.7883,5.7817,-4.7154,6.8588,5.9069,10.174,16.16,23.651,26.165,17.215,9.4332,3.1072,11.913,7.765
16,9.9438,8.8136,3.6783,9.673,1.5385,4.641,5.9557,10.316,10.96,22.349,24.977,19.668,6.7135,3.8401,14.134,6.8349
17,4.2084,4.0821,-2.3258,-6.9601,3.2019,2.33,-2.0708,6.8573,7.273,29.741,18.923,19.574,9.6743,5.6504,16.561,2.9319
18,-3.7389,-8.8648,-11.167,-17.407,5.9844,-4.4339,-8.0838,2.3108,-3.5308,18.115,2.1469,7.7003,0.81686,-10.594,1.205,-11.814
19,-4.4284,-5.52,-4.9387,-5.8479,6.7485,-1.0417,0.72827,7.5479,-5.6123,9.2897,5.7105,11.981,8.4743,-1.3938,3.4443,-10.065
20,17.829,4.1677,2.7883,5.7817,-4.7154,6.8588,5.9069,10.174,16.16,23.651,26.165,17.215,9.4332,3.1072,11.913,7.765
21,9.9438,8.8136,3.6783,9.673,1.5385,4.641,5.9557,10.316,10.96,22.349,24.977,19.668,6.7135,3.8401,14.134,6.8349
22,4.2084,4.0821,-2.3258,-6.9601,3.2019,2.33,-2.0708,6.8573,7.273,29.741,18.923,19.574,9.6743,5.6504,16.561,2.9319
23,-3.7389,-8.8648,-11.167,-17.407,5.9844,-4.4339,-8.0838,2.3108,-3.5308,18.115,2.1469,7.7003,0.81686,-10.594,1.205,-11.814
24,-4.4284,-5.52,-4.9387,-5.8479,6.7485,-1.0417,0.72827,7.5479,-5.6123,9.2897,5.7105,11.981,8.4743,-1.3938,3.4443,-10.065
25,17.829,4.1677,2.7883,5.7817,-4.7154,6.8588,5.9069,10.174,16.16,23.651,26.165,17.215,9.4332,3.1072,11.913,7.765
26,9.9438,8.8136,3.6783,9.673,1.5385,4.641,5.9557,10.316,10.96,22.349,24.977,19.668,6.7135,3.8401,14.134,6.8349
27,4.2084,4.0821,-2.3258,-6.9601,3.2019,2.33,-2.0708,6.8573,7.273,29.741,18.923,19.574,9.6743,5.6504,16.561,2.9319
